productId,group,name,ext_num,cleanName,searchTerm,url,subTypeName,lowPrice,midPrice,marketPrice
676091,Ascended Heroes,Iono's Bellibolt ex - 279/217,279/217,Ionos Bellibolt ex 279 217,"Iono's Bellibolt ex  ""279/217"" Ascended Heroes holo",https://www.tcgplayer.com/product/676091/pokemon-me-ascended-heroes-ionos-bellibolt-ex-279-217,Holofoil,80,83.24,82
676092,Ascended Heroes,Lillie's Clefairy ex - 280/217,280/217,Lillies Clefairy ex 280 217,"Lillie's Clefairy ex  ""280/217"" Ascended Heroes holo",https://www.tcgplayer.com/product/676092/pokemon-me-ascended-heroes-lillies-clefairy-ex-280-217,Holofoil,175.49,192.63,183.46
676093,Ascended Heroes,Team Rocket's Mewtwo ex - 281/217,281/217,Team Rockets Mewtwo ex 281 217,"Team Rocket's Mewtwo ex  ""281/217"" Ascended Heroes holo",https://www.tcgplayer.com/product/676093/pokemon-me-ascended-heroes-team-rockets-mewtwo-ex-281-217,Holofoil,275.01,300,281.42
676094,Ascended Heroes,Mega Diancie ex - 282/217,282/217,Mega Diancie ex 282 217,"Mega Diancie ex  ""282/217"" Ascended Heroes holo",https://www.tcgplayer.com/product/676094/pokemon-me-ascended-heroes-mega-diancie-ex-282-217,Holofoil,56.01,71.99,58.68
676095,Ascended Heroes,Mega Hawlucha ex - 283/217,283/217,Mega Hawlucha ex 283 217,"Mega Hawlucha ex  ""283/217"" Ascended Heroes holo",https://www.tcgplayer.com/product/676095/pokemon-me-ascended-heroes-mega-hawlucha-ex-283-217,Holofoil,71.24,93.81,71.73
676096,Ascended Heroes,Mega Gengar ex - 284/217,284/217,Mega Gengar ex 284 217,"Mega Gengar ex  ""284/217"" Ascended Heroes holo",https://www.tcgplayer.com/product/676096/pokemon-me-ascended-heroes-mega-gengar-ex-284-217,Holofoil,1049.99,1199.99,1005.26
676097,Ascended Heroes,Mega Scrafty ex - 285/217,285/217,Mega Scrafty ex 285 217,"Mega Scrafty ex  ""285/217"" Ascended Heroes holo",https://www.tcgplayer.com/product/676097/pokemon-me-ascended-heroes-mega-scrafty-ex-285-217,Holofoil,58.31,70.8,62.8
676098,Ascended Heroes,N's Zoroark ex - 286/217,286/217,Ns Zoroark ex 286 217,"N's Zoroark ex  ""286/217"" Ascended Heroes holo",https://www.tcgplayer.com/product/676098/pokemon-me-ascended-heroes-ns-zoroark-ex-286-217,Holofoil,143.94,162.95,145.54
676099,Ascended Heroes,Marnie's Grimmsnarl ex,287/217,Marnies Grimmsnarl ex,"Marnie's Grimmsnarl ex ""287/217"" Ascended Heroes holo",https://www.tcgplayer.com/product/676099/pokemon-me-ascended-heroes-marnies-grimmsnarl-ex,Holofoil,93,108.85,97.06
676100,Ascended Heroes,Fezandipiti ex - 288/217,288/217,Fezandipiti ex 288 217,"Fezandipiti ex  ""288/217"" Ascended Heroes holo",https://www.tcgplayer.com/product/676100/pokemon-me-ascended-heroes-fezandipiti-ex-288-217,Holofoil,90.02,101.8,90.02
676101,Ascended Heroes,Steven's Metagross ex,289/217,Stevens Metagross ex,"Steven's Metagross ex ""289/217"" Ascended Heroes holo",https://www.tcgplayer.com/product/676101/pokemon-me-ascended-heroes-stevens-metagross-ex,Holofoil,81.64,100,80.75
676102,Ascended Heroes,Mega Dragonite ex - 290/217,290/217,Mega Dragonite ex 290 217,"Mega Dragonite ex  ""290/217"" Ascended Heroes holo",https://www.tcgplayer.com/product/676102/pokemon-me-ascended-heroes-mega-dragonite-ex-290-217,Holofoil,725,849.48,669.12
676103,Ascended Heroes,Canari - 291/217,291/217,Canari 291 217,"Canari  ""291/217"" Ascended Heroes holo",https://www.tcgplayer.com/product/676103/pokemon-me-ascended-heroes-canari-291-217,Holofoil,48.5,55.29,49.37
676104,Ascended Heroes,Iris's Fighting Spirit - 292/217,292/217,Iriss Fighting Spirit 292 217,"Iris's Fighting Spirit  ""292/217"" Ascended Heroes holo",https://www.tcgplayer.com/product/676104/pokemon-me-ascended-heroes-iriss-fighting-spirit-292-217,Holofoil,43.2,50,40.19
676105,Ascended Heroes,Surfer - 293/217,293/217,Surfer 293 217,"Surfer  ""293/217"" Ascended Heroes holo",https://www.tcgplayer.com/product/676105/pokemon-me-ascended-heroes-surfer-293-217,Holofoil,25.99,34.86,32.47
676106,Ascended Heroes,Mega Charizard Y ex - 294/217,294/217,Mega Charizard Y ex 294 217,"Mega Charizard Y ex  ""294/217"" Ascended Heroes holo",https://www.tcgplayer.com/product/676106/pokemon-me-ascended-heroes-mega-charizard-y-ex-294-217,Holofoil,410,499.99,457.6
676107,Ascended Heroes,Mega Dragonite ex - 295/217,295/217,Mega Dragonite ex 295 217,"Mega Dragonite ex  ""295/217"" Ascended Heroes holo",https://www.tcgplayer.com/product/676107/pokemon-me-ascended-heroes-mega-dragonite-ex-295-217,Holofoil,289.9,338.59,312.97
662150,Phantasmal Flames,Dawn - 129/094,129/094,Dawn 129 094,"Dawn  ""129/094"" Phantasmal Flames holo",https://www.tcgplayer.com/product/662150/pokemon-me02-phantasmal-flames-dawn-129-094,Holofoil,28.6,36.16,32.82
662183,Phantasmal Flames,Mega Charizard X ex - 109/094,109/094,Mega Charizard X ex 109 094,"Mega Charizard X ex  ""109/094"" Phantasmal Flames holo",https://www.tcgplayer.com/product/662183/pokemon-me02-phantasmal-flames-mega-charizard-x-ex-109-094,Holofoil,33,40,35.96
662184,Phantasmal Flames,Mega Charizard X ex - 125/094,125/094,Mega Charizard X ex 125 094,"Mega Charizard X ex  ""125/094"" Phantasmal Flames holo",https://www.tcgplayer.com/product/662184/pokemon-me02-phantasmal-flames-mega-charizard-x-ex-125-094,Holofoil,759.99,971.7,815.5
662185,Phantasmal Flames,Mega Charizard X ex - 130/094,130/094,Mega Charizard X ex 130 094,"Mega Charizard X ex  ""130/094"" Phantasmal Flames holo",https://www.tcgplayer.com/product/662185/pokemon-me02-phantasmal-flames-mega-charizard-x-ex-130-094,Holofoil,347.99,400,355.99
662190,Phantasmal Flames,Mega Lopunny ex - 128/094,128/094,Mega Lopunny ex 128 094,"Mega Lopunny ex  ""128/094"" Phantasmal Flames holo",https://www.tcgplayer.com/product/662190/pokemon-me02-phantasmal-flames-mega-lopunny-ex-128-094,Holofoil,19,23.4,20.48
662193,Phantasmal Flames,Mega Sharpedo ex - 127/094,127/094,Mega Sharpedo ex 127 094,"Mega Sharpedo ex  ""127/094"" Phantasmal Flames holo",https://www.tcgplayer.com/product/662193/pokemon-me02-phantasmal-flames-mega-sharpedo-ex-127-094,Holofoil,27,32,27.79
654594,Mega Evolution Promo,Meganium - 001,001,Meganium 001,Meganium  Mega Evolution Promo 001,https://www.tcgplayer.com/product/654594/pokemon-me-mega-evolution-promo-meganium-001,Normal,24,29.77,25.69
656385,Mega Evolution Promo,Alakazam - 003 (Staff),003,Alakazam 003 Staff,Alakazam Staff Mega Evolution Promo 003 holo,https://www.tcgplayer.com/product/656385/pokemon-me-mega-evolution-promo-alakazam-003-staff,Holofoil,100,225,184.98
656800,Mega Evolution Promo,Meganium - 001 [Staff],001,Meganium 001 Staff,Meganium Staff Mega Evolution Promo 001 holo,https://www.tcgplayer.com/product/656800/pokemon-me-mega-evolution-promo-meganium-001-staff,Holofoil,99.99,150,75.27
656802,Mega Evolution Promo,Inteleon - 002 [Staff],002,Inteleon 002 Staff,Inteleon Staff Mega Evolution Promo 002 holo,https://www.tcgplayer.com/product/656802/pokemon-me-mega-evolution-promo-inteleon-002-staff,Holofoil,30,33.4,33.36
656825,Mega Evolution Promo,Lunatone - 004 [Staff],004,Lunatone 004 Staff,Lunatone Staff Mega Evolution Promo 004 holo,https://www.tcgplayer.com/product/656825/pokemon-me-mega-evolution-promo-lunatone-004-staff,Holofoil,70,70,59.62
659232,Mega Evolution Promo,Haunter  - 027,027,Haunter 027,Haunter  Mega Evolution Promo 027 holo,https://www.tcgplayer.com/product/659232/pokemon-me-mega-evolution-promo-haunter-027,Holofoil,37.99,59.99,43.73
659612,Mega Evolution Promo,Mega Charizard X ex - 023,023,Mega Charizard X ex 023,Mega Charizard X ex  Mega Evolution Promo 023 holo,https://www.tcgplayer.com/product/659612/pokemon-me-mega-evolution-promo-mega-charizard-x-ex-023,Holofoil,35.62,47.31,40.37
663188,Mega Evolution Promo,Ceruledge (Prerelease) [Staff],014,Ceruledge Prerelease Staff,Ceruledge Prerelease Staff Mega Evolution Promo 014 holo,https://www.tcgplayer.com/product/663188/pokemon-me-mega-evolution-promo-ceruledge-prerelease-staff,Holofoil,119.95,124.99,78.27
663190,Mega Evolution Promo,Zacian (Prerelease) [Staff],015,Zacian Prerelease Staff,Zacian Prerelease Staff Mega Evolution Promo 015 holo,https://www.tcgplayer.com/product/663190/pokemon-me-mega-evolution-promo-zacian-prerelease-staff,Holofoil,74.99,100,37.03
663192,Mega Evolution Promo,Flygon (Prerelease) [Staff],016,Flygon Prerelease Staff,Flygon Prerelease Staff Mega Evolution Promo 016 holo,https://www.tcgplayer.com/product/663192/pokemon-me-mega-evolution-promo-flygon-prerelease-staff,Holofoil,44.99,71.48,37.47
663194,Mega Evolution Promo,Toxtricity (Prerelease) [Staff],017,Toxtricity Prerelease Staff,Toxtricity Prerelease Staff Mega Evolution Promo 017 holo,https://www.tcgplayer.com/product/663194/pokemon-me-mega-evolution-promo-toxtricity-prerelease-staff,Holofoil,44.99,69.98,35.92
681244,Mega Evolution Promo,Celebratory Fanfare (Ace Trainer),028,Celebratory Fanfare Ace Trainer,Celebratory Fanfare Ace Trainer Mega Evolution Promo 028,https://www.tcgplayer.com/product/681244/pokemon-me-mega-evolution-promo-celebratory-fanfare-ace-trainer,Normal,898.99,899.98,899.98
654508,Mega Evolution,Lillie's Determination - 169/132,169/132,Lillies Determination 169 132,"Lillie's Determination  ""169/132"" Mega Evolution holo",https://www.tcgplayer.com/product/654508/pokemon-me01-mega-evolution-lillies-determination-169-132,Holofoil,19.99,24.99,20.95
654516,Mega Evolution,Mega Venusaur ex - 177/132,177/132,Mega Venusaur ex 177 132,"Mega Venusaur ex  ""177/132"" Mega Evolution holo",https://www.tcgplayer.com/product/654516/pokemon-me01-mega-evolution-mega-venusaur-ex-177-132,Holofoil,118.07,140.33,119.04
654517,Mega Evolution,Mega Gardevoir ex - 178/132,178/132,Mega Gardevoir ex 178 132,"Mega Gardevoir ex  ""178/132"" Mega Evolution holo",https://www.tcgplayer.com/product/654517/pokemon-me01-mega-evolution-mega-gardevoir-ex-178-132,Holofoil,167.5,203.51,169.13
654518,Mega Evolution,Mega Lucario ex - 179/132,179/132,Mega Lucario ex 179 132,"Mega Lucario ex  ""179/132"" Mega Evolution holo",https://www.tcgplayer.com/product/654518/pokemon-me01-mega-evolution-mega-lucario-ex-179-132,Holofoil,143,165,153.56
654519,Mega Evolution,Mega Absol ex - 180/132,180/132,Mega Absol ex 180 132,"Mega Absol ex  ""180/132"" Mega Evolution holo",https://www.tcgplayer.com/product/654519/pokemon-me01-mega-evolution-mega-absol-ex-180-132,Holofoil,61.3,73.56,61.45
654520,Mega Evolution,Mega Latias ex - 181/132,181/132,Mega Latias ex 181 132,"Mega Latias ex  ""181/132"" Mega Evolution holo",https://www.tcgplayer.com/product/654520/pokemon-me01-mega-evolution-mega-latias-ex-181-132,Holofoil,69.67,87.47,75.85
654521,Mega Evolution,Mega Kangaskhan ex - 182/132,182/132,Mega Kangaskhan ex 182 132,"Mega Kangaskhan ex  ""182/132"" Mega Evolution holo",https://www.tcgplayer.com/product/654521/pokemon-me01-mega-evolution-mega-kangaskhan-ex-182-132,Holofoil,61.29,68.99,62.14
654522,Mega Evolution,Acerola's Mischief - 183/132,183/132,Acerolas Mischief 183 132,"Acerola's Mischief  ""183/132"" Mega Evolution holo",https://www.tcgplayer.com/product/654522/pokemon-me01-mega-evolution-acerolas-mischief-183-132,Holofoil,30,37.47,33.17
