productId,group,name,cleanName,url,subTypeName,lowPrice,midPrice,marketPrice
539213,Secret Lair Drop Series,Secret Lair Drop: Sheldon's Spellbook - Rainbow Foil Edition,Secret Lair Drop Sheldons Spellbook Rainbow Foil Edition,https://www.tcgplayer.com/product/539213/magic-secret-lair-drop-series-secret-lair-drop-sheldons-spellbook-rainbow-foil-edition,Normal,67.0,85.0,70.24
539217,Secret Lair Drop Series,Teferi's Protection (1691),Teferis Protection 1691,https://www.tcgplayer.com/product/539217/magic-secret-lair-drop-series-teferis-protection-1691,Normal,48.0,53.9,51.25
540769,Secret Lair Drop Series,Secret Lair Roadshow Edition: Burning Revelations - Rainbow Foil Edition,Secret Lair Roadshow Edition Burning Revelations Rainbow Foil Edition,https://www.tcgplayer.com/product/540769/magic-secret-lair-drop-series-secret-lair-roadshow-edition-burning-revelations-rainbow-foil-edition,Normal,199.95,224.97,121.46
541370,Secret Lair Drop Series,Teferi's Protection (1691) (Rainbow Foil),Teferis Protection 1691 Rainbow Foil,https://www.tcgplayer.com/product/541370/magic-secret-lair-drop-series-teferis-protection-1691-rainbow-foil,Foil,54.08,65.03,55.52
543700,Secret Lair Drop Series,"Discord, Lord of Disharmony",Discord Lord of Disharmony,https://www.tcgplayer.com/product/543700/magic-secret-lair-drop-series-discord-lord-of-disharmony,Foil,31.71,40.59,35.34
545708,Secret Lair Drop Series,Secret Lair Drop: Secret Lair x Fallout: Vault Boy - Rainbow Foil Edition,Secret Lair Drop Secret Lair x Fallout Vault Boy Rainbow Foil Edition,https://www.tcgplayer.com/product/545708/magic-secret-lair-drop-series-secret-lair-drop-secret-lair-x-fallout-vault-boy-rainbow-foil-edition,Normal,90.0,124.99,91.5
545709,Secret Lair Drop Series,Secret Lair Drop: Secret Lair x Fallout: Vault Boy - Non-Foil Edition,Secret Lair Drop Secret Lair x Fallout Vault Boy Non Foil Edition,https://www.tcgplayer.com/product/545709/magic-secret-lair-drop-series-secret-lair-drop-secret-lair-x-fallout-vault-boy-non-foil-edition,Normal,79.99,98.32,70.73
545710,Secret Lair Drop Series,Secret Lair Drop: Secret Lair x Fallout: Points of Interest - Rainbow Foil Edition,Secret Lair Drop Secret Lair x Fallout Points of Interest Rainbow Foil Edition,https://www.tcgplayer.com/product/545710/magic-secret-lair-drop-series-secret-lair-drop-secret-lair-x-fallout-points-of-interest-rainbow-foil-edition,Normal,131.99,172.98,137.75
545711,Secret Lair Drop Series,Secret Lair Drop: Secret Lair x Fallout: Points of Interest - Non-Foil Edition,Secret Lair Drop Secret Lair x Fallout Points of Interest Non Foil Edition,https://www.tcgplayer.com/product/545711/magic-secret-lair-drop-series-secret-lair-drop-secret-lair-x-fallout-points-of-interest-non-foil-edition,Normal,100.0,129.99,90.14
545712,Secret Lair Drop Series,Secret Lair Drop: Secret Lair x Fallout: S.P.E.C.I.A.L. - Rainbow Foil Edition,Secret Lair Drop Secret Lair x Fallout SPECIAL Rainbow Foil Edition,https://www.tcgplayer.com/product/545712/magic-secret-lair-drop-series-secret-lair-drop-secret-lair-x-fallout-special-rainbow-foil-edition,Normal,160.0,173.73,129.74
